part_id,color_id,part_name,part_cat_id
973pb0391c01,19,"Torso Adventurers Desert Safari Shirt, Yellow Neck, Red Bandana, Gun Print / Tan Arms / Yellow Hands",13.0
2340,15,Tail 4 x 1 x 3,35.0
2357,15,Brick 2 x 2 Corner,11.0
2431,4,Tile 1 x 4 with Groove,19.0
2445,15,Plate 2 x 12,14.0
2483,40,Windscreen 4 x 4 x 4 1/3 Helicopter,47.0
2555,0,Tile Special 1 x 1 with Clip and Straight Tips,15.0
3002,1,Brick 2 x 3,11.0
30031,0,Minifig Handlebars,36.0
3005,15,Brick 1 x 1,11.0
30055,0,Fence Spindled 1 x 4 x 2 [2 Top Studs],32.0
3032,15,Plate 4 x 6,14.0
3034,0,Plate 2 x 8,14.0
3035,15,Plate 4 x 8,14.0
30359b,0,Bar 1 x 8 with Brick 1 x 2 Curved Top End (Axle Holder Inside Small End),32.0
3036,15,Plate 6 x 8,14.0
30361c,72,"Brick, Round 2 x 2 x 2 Robot Body - with Bottom Axle Holder x Shape + Orientation",20.0
30363,15,Slope 18° 4 x 2,3.0
3039pr0001,15,Slope 45° 2 x 2 with Windows in Computer Screen Print,3.0
3039pr0002,15,Slope 45° 2 x 2 with Radar and Disk Slot Black Print [White],3.0
30592,72,Brick Special 2 x 2 with Top Pin and 1 x 2 Side Plates,5.0
3245b,15,Brick 1 x 2 x 2 with Inside Axle Holder,11.0
3624,15,Minifig Police Style Cap,27.0
3626bpr0126,14,"Minifig Head Gray Eyebrows, Glasses, Beard and Moustache Print [Blocked Open Stud]",13.0
3626bpr0282,14,"Minifig Head with Silver Sunglasses, Eyebrows and Thin Grin Print [Blocked Open Stud]",13.0
3626bpr0410,14,"Minifig Head Male Arched Eyebrow, White Teeth with Gold Tooth, Coarse Stubble Print [Blocked Open Stud]",13.0
3633,0,Fence 1 x 4 x 1,32.0
3660,15,"Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]",3.0
3665,15,Slope Inverted 45° 2 x 1,3.0
3678b,15,Slope 65° 2 x 2 x 2 with Bottom Tube,3.0
3749,19,Technic Axle Pin without Friction Ridges Lengthwise,53.0
3900,15,Minifig Signal Paddle,27.0
3937,71,Hinge Brick 1 x 2 Base,18.0
3938,0,Hinge Brick 1 x 2 Top Plate Thin,18.0
3939,40,Slope 33° 3 x 6,3.0
41334,0,Minifig Knitted Cap,27.0
41767,15,Wedge 4 x 2 Right,6.0
